MultiClass,Accuracy,F1
4195779.986815273,0.004100988854544755,0.0019569885939403242
4345721.251061319,0.0054589003321833035,0.00263675134088971
4345719.149713348,0.006000782362220882,0.002712982855029506
4664954.252484962,0.006701381318216214,0.002915627310571268
4664954.252484962,0.006395169875206813,0.0027439041762839264
4664954.672754556,0.006225230540342957,0.0026666685509956836
4664951.310597802,0.006058497608023702,0.0026487287483471147
4664945.8470930755,0.005801985404455617,0.0024494773625526344
4664934.499814029,0.005700983724300683,0.0024112312596250903
4664930.71738768,0.005587156433967346,0.0023259627108412648
4664922.311995793,0.005888558273159846,0.002404065828836825
4664920.630917416,0.006036052790211494,0.002492229805018176
4664744.117687799,0.006393566673934512,0.0026360383061015255
4664738.233913478,0.0065891572291551775,0.0027265078755701355
4664634.42732368,0.006770318972925137,0.0028461652345314384
4664543.649091305,0.006917813489976786,0.0029467101042141234
4664478.507304185,0.007119816850286652,0.0030420778142147293
4664463.797868384,0.007562300401441599,0.003168217474589829
4664389.830419783,0.007953481511882928,0.0032958606654144825
4664167.5078043835,0.008288550577793739,0.003442964968323301
4664062.020136208,0.008525824366094217,0.0035688169686047167
4663587.956033808,0.008671715681873565,0.0036082851332805057
4663381.1833934,0.008965101514704562,0.0036940606396091993
4663137.42702869,0.009115802434300812,0.0037278625010182306
4663058.416344957,0.009184740089009734,0.0037407599025690336
4662833.992381588,0.009409188267131809,0.0038347129116660323
4662679.333170876,0.010218804909643575,0.005294745829159671
4662681.014249253,0.010339045005066116,0.005432376240488001
4662011.945055086,0.011313791378624838,0.006448578729298903
4661562.2565891575,0.012189139273300927,0.0076986835604889595
4661145.349151586,0.012599558799009862,0.008204048371984561
4660687.255293771,0.012339840192897177,0.0073610905617470315
4660597.317600585,0.012153868845310316,0.007180128015592664
4660475.019148636,0.011964691095178854,0.006755814171256525
4660364.067975734,0.012139440033859611,0.006798575062942278
4660233.364131899,0.014340635380728238,0.011236659363126733
4660033.736074594,0.01376668932524465,0.009785240710836586
4659589.090843797,0.014028011132629635,0.00974311677115387
4659420.983006067,0.014396747425258757,0.010207973440060369
4659239.426541317,0.013510177121676565,0.008600559275003234
4658788.8975362005,0.014754261308981775,0.011004663153153165
4658697.278764637,0.014826405366235298,0.010715425042200154
4658467.811566135,0.014138632020418372,0.009142309705550944
4657876.912516513,0.01401358232117893,0.008986530075775377
4657780.670779413,0.013962279880465313,0.008934888808316704
4657841.609870589,0.017061267939822235,0.014789600177963977
4658047.121702215,0.01607209275481281,0.012542039733683289
4658396.3657351,0.015669689235465377,0.011767765328714246
4658095.452705562,0.015520591517141427,0.011500922305693374
4658017.702830612,0.015778706921981814,0.01193856869876491
4658068.97572112,0.016476099475432545,0.012834373968889475
4657951.300234709,0.016503353897061653,0.013467070082929309
4657528.0887532225,0.016113775987892626,0.012742484533292372
4657826.480165194,0.01609774397516962,0.01244749139031615
4657502.452307968,0.018137015993535892,0.01657217767775246
4657507.495543101,0.01858270594723544,0.0167493754284313
4657875.65170773,0.016997139888930216,0.013756994912707267
4658118.9878028445,0.020195526427169774,0.019640857949989557
4658715.770626788,0.01660756197976119,0.01282971057788951
4658251.792994652,0.016594736369582783,0.013075073272356115
4658394.6846567225,0.018228398466057023,0.016180254941328017
4658368.20767228,0.026201118393207556,0.03143446031549611
4658321.978016905,0.025130179943310803,0.029602838483831682
4658172.782310919,0.023191909605099464,0.02640371847275387
4657557.087355231,0.022358244943503188,0.024944793579307047
4657218.3500622045,0.021373879362310663,0.023225139124325316
4656990.984211674,0.020599533147789506,0.021572644789964627
4656768.241326681,0.019169477612897435,0.018952172409902147
4656772.864292218,0.020504944272723775,0.021946853877184248
4656761.937282766,0.022650027575061883,0.026478043694466935
4656685.868486193,0.024649219561620646,0.030424541541144195
4656562.729495056,0.02388128615218869,0.02901669108193174
4656512.717413331,0.02461074273108543,0.030228342149746616
4656474.472880247,0.023688901999512627,0.02842672532404135
4656454.29993972,0.022172273595916326,0.02550388020546472
4656485.820159294,0.026242801626287372,0.033316957936464386
4656513.5579525195,0.02454180507637651,0.029893954428806376
4656634.175326091,0.024811142890122997,0.030552334019728306
4656601.814567328,0.033890071695160895,0.04745372411874912
4656384.114917467,0.0314836665854378,0.043099835217721844
4656495.486359963,0.02932736087419359,0.03903673187855597
4656680.404981467,0.03084559247906219,0.04235315435864723
4656668.217163231,0.029983070194564507,0.0406362478227681
4656743.025151022,0.030106516692531646,0.04100949183582791
4657043.517910965,0.03174979799663969,0.043741535602139794
4657616.765637625,0.03384037245571958,0.04691082886857368
4657815.553155742,0.030978658184663135,0.04181210848973281
4658364.425245931,0.030565032256409597,0.040798764567832026
4657981.979915095,0.029365837704728802,0.038251183260044806
4658283.313214227,0.03078146442817017,0.04044745022213836
4658283.313214227,0.029221549590221756,0.03747483176044499
4658739.725993664,0.02911253190370532,0.03705979873052136
4659091.91191371,0.030043991842911927,0.03833931475221246
4658007.196090754,0.028383075324808577,0.0351755541117525
4658676.265284921,0.02956944426631097,0.03710005858478817
4658543.880362708,0.029516538624325052,0.0368971076137639
4658919.181110442,0.030263630417217097,0.03816916387652224
4658971.7148097325,0.030861624491785197,0.03903038500854984
4659365.507419615,0.02944920417088843,0.036721134894793186
4659566.816555298,0.027214341597301493,0.03290529775714681
4659997.592889482,0.027283279252010413,0.032773785622470596
4660231.683053521,0.02790692454693532,0.033624833710336206
4660123.253498185,0.027098911105695855,0.03252581003185503
4660263.62354269,0.025978273416357785,0.030528911784710133
4660639.764829611,0.026641998743090204,0.03145370099991549
4660855.783401095,0.02669650758634842,0.03115050150815226
4661476.10132232,0.0263341840988085,0.03049490053158599
4662020.770716567,0.02610973592068643,0.030012466871988983
4662560.396875681,0.023679282791878822,0.025870230509567528
4664270.894124588,0.021668868396413958,0.022569507319159892
4663509.785889263,0.01981877412817915,0.018848525038796395
4663766.150341802,0.020569072323615795,0.019816589795174203
4663574.927676384,0.020089715143197937,0.019569377462914712
4663667.386987136,0.01761757878131052,0.015094386117509358
4663840.117790404,0.018747835678282393,0.016597291028956625
4665013.090228167,0.018667675614667367,0.016522869812406298
4665201.3710064255,0.017147840808526466,0.013671201807658993
4666371.821826624,0.01701317190165322,0.01370380225831593
4666625.244392002,0.01707569675127294,0.01335722465549498
4666839.161615514,0.017760263694545267,0.014207422167399507
4667772.160114918,0.017850042965794097,0.01429461292826447
4668028.104297862,0.018154651207531198,0.014542474231284191
4668316.829509164,0.018601944362503047,0.015284118657317583
4669359.938642281,0.0187606612884608,0.015317790956812282
4669587.304492812,0.019110159165822312,0.015726609875801725
4670471.551719273,0.018903346201695547,0.015410671286932813
4670442.553117265,0.01975624927855943,0.016880764602260342
4671059.088612141,0.01960875476150778,0.016675310844093846
4671520.544626711,0.02003841270248432,0.01720875145313291
4671693.275429979,0.019804345316728443,0.016648034686775424
4672008.0573561285,0.018935410227141555,0.015220989469759433
4672515.32275648,0.01930094011722608,0.015482843629548052
4673083.106978415,0.019514165886442048,0.015917892167503743
4673616.00882402,0.019956649437596993,0.01634439724790598
4673951.383960292,0.020250035270427992,0.016619763496365965
4674359.045466788,0.020381497774756636,0.01725899097440415
4675229.8440662315,0.0190652695301979,0.015337321144037911
4676309.516654055,0.01804242711847016,0.013615788287090137
4676674.730931524,0.017910964614141517,0.013222351500948313
4677406.000025651,0.01764483320293963,0.01255981501259088
4678122.139414383,0.01767208762456874,0.012589464217780537
4679337.138811579,0.016692531647193115,0.011372568485531753
4679601.48838641,0.016652451615385602,0.010958424188627061
4680370.161474432,0.016230809680770564,0.010148895241875708
4680171.373956316,0.015911772627582758,0.010015978763437364
4680978.711847016,0.015695340455822184,0.009389689170520634
4681896.580641024,0.015680911644371482,0.00914373682969189
4682656.8483371595,0.015366684195000577,0.008569416495061422
4683824.777539792,0.014608369993202426,0.007146593960952401
4684348.433454322,0.014523400325770498,0.006826338952060783
4686549.385319807,0.013704164475624928,0.005977025042242935
4687927.449319601,0.01343482666187844,0.005541068530934768
4688872.6356372405,0.01343642986315074,0.0054206499487644295
4689687.958650233,0.0136175916069207,0.005976460717283276
4690221.280765433,0.013676910053995819,0.005905134513875969
4690884.886454873,0.01380356295450756,0.005856280283627788
4691045.429439906,0.013930215855019303,0.005960903237415763
4691611.952853057,0.013856468596493478,0.00579983996634104
4692353.308417448,0.013728212494709437,0.005444329412025769
4693718.764329413,0.013858071797765778,0.005655386057606564
4693930.580204953,0.013991137503366722,0.00580968468287269
4694498.364426888,0.014165886442047481,0.005837408483515734
4696734.198668702,0.014205966473854994,0.005859839867025589
4697777.3078018185,0.014289332940014622,0.0060038589723848046
4698319.035308905,0.014430414651977069,0.006167271091777305
4698663.656376252,0.01473822929625877,0.006205949956571056
4699148.22721851,0.014784722133155485,0.006363836880634238
4699999.27314702,0.014855262989136708,0.0065072512925414255
4700477.119675769,0.014912978234939527,0.00663957427839645
4702393.128756301,0.015049250343085073,0.006736359454506702
4702945.783272839,0.015233618489399633,0.007016601261960703
4703304.693506394,0.015403557824263489,0.007203180257162239
4703669.907783863,0.015636022008747065,0.007519594165486604
4704501.621311034,0.015748246097808102,0.007824756311025046
4704836.576177712,0.01579954853852172,0.007924373338486048
4706363.415613898,0.015687324449460683,0.007893624994478186
4706960.198437841,0.015672895638009977,0.007814035534998771
4707981.033282459,0.015608767587117958,0.007755863441976352
4709575.956392925,0.015358668188639074,0.007377953918698294
